document,sentence
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Raphi Chumbivilcas llaqtapi mikhuy uqariyta riqsisun Patan qillqata awinchaspa tapukuykunaman kutichiy.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Chumbivilcas llaqtapi papa kallpachay Ch'umpiwalqas runakunaqa allin mikhuy uqarinankupaqqa aylluntin rimanakunku.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,awpaq rikhuriq papatan sapa wata pukllay kinraypi arariwa umalliqniyuq ayllu runakuna sumaqta t'inkaykuspa t'ikawan wichhiykuspa takiyukuspa pinkullupa waqayninwan yuraq wiphalantin tusuykukuspa qhawanku.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Chay papa qhawamusqankutataq arariwapa ch'ukllanman chayaspa sumqata t'inkaykuspa alkansuta sawasiray maman haywanku huk llamapa sunquntawan kananku, aychantataq papa qhawamusqankutawan papa yurayuqta, ch'uuyuqta, llama aychayuqta t'imputa wayk'uspa lliw ayllu runa mikhunku."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Chaytaqa allinta papa ruru puquykunanpaq kallpachanku.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"awinchayta tukurquspataq, taytamamaykiwan, yachaqmasiykikunawan rimaspa tapukuykunaman kutichiy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,May llaqtamantataq qillqasqa rimapayawanchik?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imatataq ayllu runakuna ruranku?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Allinchu Chumbivilcas llaqtapi chayhina papa qhaway?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Chayhina rimanakuspa aylluntin rurasqanku imapitaq aylluykiman rikch'akun?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Sapanka siq'ipa sutinta rimaspa, tukukuyninpi kikin simi phatma t'uqyaqta imakunatapas siq'illaytaq."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,sara siwara  T'aqa Llaqtanchikkunapa rayminkuna   Yachananchikpaq Yachananchikpaq Imaraykutaq ayllunchikpi raymikuna chinkapuchkan?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Ayllunchikkunapi runakunaqa kay killapi imaymana raymikunata sumaq kawsayta machkaspa ruranku.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Ichaqa, chhalanakuy raymi, musuq kawsaykunapa chayamusqanwan chinkapuchkan, hinataq mana allin kawsaykuna kapuchkan."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Taytamamanchikman imarayku wakin raymikuna chinkapusqanmanta riqsichinanchikpaq, imatataq rurasunman?"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Qillqaspa siq'iy, imarayku wakin raymikuna chinkapusqanta."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Imaraykutaq ayllunchikkunapi wakin Raphi raymikuna chinkapusqanta riqsisunchik Yachananchikpaq allichakusun Taytamamaykiwan, yachaqmasiykikunawan rimay."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Ayllukunapi wakin raymikuna imaraykutaq chinkapuchkan?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Tayta Tomas, Micaela, Manuel hawayninkunata chhalaymanta rimanankupaq huusqa."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Yuyarinsi, awpaqqa llamapi, mulapi karu llaqtakunata chhalaq puriq kayku, ch'arki, millma, qaiwa apaykusqa, sarawan, hawaswan chhalamunaykupaq."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Lliw ayllurunakunan chhalaspalla mikhunataqa huuqku, kunanqa ayllukunaman an patapia, musuq kawsaykuna chayamusqanwan qullqillawana rantinakunku, hinataq mana allin kawsaykuna kapuchkan."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Yachaqmasiykikunawan, taytamamaykiwan rimay, imaninantatap nin, sumaq kawsay raymikuna chinkapuchkan."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Tapukuykunaman rimaspa qillqaspa kutichiy.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imaraykutaq patan qillqa nin Raymikuna chinkapuchkan!?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Tapukuykunaman allin kutichisqata X(wan) chimpuy.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imapaqtaq chhalay mana chinkananta munanchik?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"qaiwa sipas sara Taytamamaykiwan rimay, chaymantataq tapuy, imarayku chhalay ayllukunapi chinkapusqanmanta."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Taytamamaykipa imarayku chhalay chinkasqanmanta willasqanta siq'ispa qillqay.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Yachaqmasiykikunaman, taytamamaykiman siq'ispa qillqasqaykita qhawachiy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Yachananchikpaq allichakusun Tapukuykunata awinchaspa, allin kutichisqata llimp'iy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Ar Mana Ayllu runakunapaq allinchu chhallay sumaq kawsay kananpaq?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Saramanta qaiwamantawan awinchaspa Raphi qillqasun Yachananchikpaq allichakusun Taytamamaykita awichaykikunata maypi sara, qaiwa wiasqanta tapuy, chaymantataq willakusqanta siq'iy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachasqanchikta mat'ipasun Saramanta qaiwamantawan aswanta yachananchikpaq awinchasun.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Sara mikhuyqa hatun qhichwakunapi wian, qhulla saraqa, chuqllu wayk'upi, humint'api, qhulla sara lawapi michk'illaa."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Qaiwa mikhuyqa, ut'u ruruchakunam kinuwaman rikcha'kuq, pata ayllukunapi urqukunapi, pampakunapi wian."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Sara, qaiwa mikhuykuna wakin ayllukunallapi mana wiaptinmi chhalaspa hunt'asqata mikhuqku qhali kawsanankupaq."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Kunanataqmi carreterapa chayamusqanwan chay sumaq kawsay chinkapuchkan.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Qillqasqapi ima mikhuykunamantataq kasqan willay kasqa?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Imaynataq sara, qaiwa kasqa?"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Qaiwa, mikhuyri may ayllukunapitaq wian?"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,awpaq sayaq wachupi mikhuykunapa kikin sutinta machkaspa llimp'iy.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"asar sara SARA rasa sara Qaiwa IWA iwina qaiwa qaiwa Micaela huk aylluta rispa qaiwata sarawan chhalamusqa, kunanqa chay sutikunata tarinanpaq yanapaspa rimaykunata hunt'apay."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Sara, qaiwa mikhuykunapa allin qillqasqa sutinkunata muyuwan wichq'ay."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Sira rasa sara SARA QAIWA wiay qaiwa wik'ua Kunanqa mikhuykunapa sutin tarisqaykiwan rimaykunata hunt'apay sara  qaiwa.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Micaela, mikhunakunapa sutinta phatmispa pukllayta munan, tarjetas lxicaswan, kuyuq qillqakunapiwan yanapay."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Chaymantataq t'uqyasqanmanhina simi phatmakunata qillqaspa llimp'iy.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"sara qaiwa Mikhuykunapa sutinta awinchaspa, simi phatmakunatawan, kikin t'uqyap simitawan siq'iwan tupachiy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Manuel, mikhuykunapa sutinta riqsiyta munan, kuyuq qillqakunawan yanapaspa qillqasqata hunt'apay."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Mikhuykunapa sutinta awinchaspa qillqakunata t'aqay.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Micaela mikhuyta mikhuywan chhalamun.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Tayta mamaykiwan rimaspa huk riqsisqayki mikhuykunapa sutinta siq'ispa qillqay.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Imayna sara, qaiwa wiasqanmanta?"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Raphi awinchaspa qillqasun Yachananchikpaq allichakusun Ayllunchikpi mikhuykunata riqsisun.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachasqanchikta mat'ipasun Qillqasqata manaraq awinchachkaspa kutichiy: Imapaqtaq qillqasqata awinchasun?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Qillqasqata ch'inlla awinchay, chaymantataq riqsisqayki simikunata wichq'ay."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Sara qaiwawan Paraqay sara hatun qhichwapi q'ui kaptin hatunta wian, watapi huk kutilla tarpukun."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Sara puqurquptintaq chakra chawpipi manchachita churanku, allinta puqurquptintaq tipispa ch'akichinku mikhunankupaq, qhatunankupaq, chhalanankupaq."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Qaiwa mikhuytaq pata ayllukunapi allin wanuchasqa papa qallpapi wian, qaiwa mikhuq runakunaqa rakhu tullu allin qhali runakunan kanku."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Kunanqa carretera, musuq kawsaykuna chayamusqanwan manaa llamk'ankuchu, chay raykun kay sumaq mikhuykuna mikhuy pisimanta chinkapuchkan."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Qillqasqata awinchaspa tapukuykunaman rimaspa kutichiy:  Paraqay sara, imaraykutaq hatun qhichwallapi wian?"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Qaiwa, sara mikhuykuna mikhuy imaraykutaq pisimanta chinkapuchkan?"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Allin kutichisqata chimpuy:  Sarata watapi hayka kutitataq tarpukun?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Micaela mikhuykunapa sutin qillqananpaq, kuyuq qillqakunawan yanapay."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"allin wanuyup allinta rurun, mana wanuyupqa sarapas pisita wachan."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Micaela, simi phatmakunata mana tarinchu, yanapay!"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Mikhuykunapa sutinta simi phatmakunawan tupachiy.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,uqa suri muraya sara qaiwa raphi waka wira Micaela mikhuykunapa sutinta qillqayta munan yanapasun!
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Sapanka sutipa simi phatmankunata huk llimp'illawan llimpispa tupachiy.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Aylluykipi ima mikhuykunatan manaa llamk'asqankumanta taytamamaykiwan rimay, chaymantataq qillqaspa siq'iy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Rimasunchik Raphi Yachananchikpaq allichakusun Siq'ita qhawaspa tapukuykunaman kutichiy.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imapaqtaq llamapi mikhuyta apamuchkankuman?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imanaptintaq ayllu runakuna chhalayta munachkanman?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Yachasqanchikta mat'ipasun Ima yachaykunan chhalayman purinapaq kan, chaymanta tayta mamaykiwan yachaqmasiykikunawan rimaspa willasqanta qillqay."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Ayllunchikpi mikhuy q'ipiq uywakunamanta qillqasun.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Manaraq qillqachkaspa, yachaqmasiykikunawan aylluykipi mikhuy q'ipiq uywakunamanta rimay."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Yachaqmasiykikunawan huukuspa uywa akllakusqaykimanta willakuy, qallarinaykipaq kay tapukuykunawan yanapakuy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imapaqtaq kay uywawan musqukunki?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Ama qunqaychu, Uywata siq'ispa kasqan ch'uyatan willayta willanaykipaq willakunayki."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachaqmasiykikunapa willakusqanta allinta uyariy.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,kasqan willakuyta tukurquspataq ima rurasqaykikunata llimp'iy.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachaqmasiykunaq willakusqanta allintachu uyarirqani.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Uywa akllakusqaymanta chanintachu willakurqani.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachasqanchikmanta hamut'asun Rimaspa kutichiy  Chhalaypi yachaykuna atipasqanchik allinchu?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Rurasqayta riqsichini Raphi Yachananchikpaq allichakusun Taytamamaykiman, Haku huk kasqan yachaqmasiykikunaman, willayta qillqasun!"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,imarayku wakin raymikuna chinkasqanta willawaqchu?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Yachasqanchikta mat'ipasun Manaraq qillqachkaspa, siq'ikunata qhawaspa sapankamanta willakuy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Qillqanaykipaq umachakuy: Imatam qillqasun?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Ayllunchikkunapi wakin raymikuna chinkasqanmanta kasqan willayta qillqay.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Yachaqmasiykikunaman, taytamamaykiman qillqasqaykita qhawachiy, chaymantataq uyariy allinchanaykipaq."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachasqanchikmanta hamut'asun Rimaspa kutichiy: Mayqam ruraykunataq qampaq allin karqan?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Taytamamaykiman yachaqmasiykikunaman qillqasqaykita qhawachiy.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Qanchi llaqtapa rayminta riqsisun Raphi Yachananchikpaq allichakusun Qillqata manaraq awinchachkaspa, kutichiy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imaynataq kanman Qanchi llaqtapa rayminri?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachananchikpaq allichakusun Qillqasqata awinchay.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Qanchi llaqtapi chhalay Qanchi llaqtapiqa Inti Raymi killapi huk hatun Raymi Raqch'i ayllupi sapa watan aparikun.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Chaymanqa tukuy llaqtakunamanta Raymi qhawaqhina ch'arki, uku, aycha, qaiwa, millma apaykusqa sarawan chhalanankupaq hamunku."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Kunan watakunaqa carrollapia hamuspanku carro hunt'ataraq sarata apanku, ichaqa wakin runakunaqa manaan chhalayta munankuachu qullqillataan munachkanku."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachaqmasiykikunawan tapukuykunamanhina rimay:  Qanchi runakuna imaraykutaq manaa awpaq hinaachu chhalanku?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Raqch'i ayllupi, imaynatatq kunanri chhalanku?"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Raqch'i ayllupi imayna chhalay rurasqankuta siq'iy.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachasqanchikmanta hamut'asun  Qanchikunamanta yachasqayki allinchu?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Qanchikunapa chalaynin imapitaq aylluykipi chhalayman rikch'akun?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imanaptinmi ayllukunapi rayminkuna Yachananchikpaq Yachananchikpaq chinkapuchkan?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Kunan watakunaqa, ayllukunapi awpaq sumaq kawsay raymikunaqa manaam kachkanachu."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Kunanqa runakunaqa qullqillataam machkanku ayllukunaman carrokuna, musuq kawsaykuna chayamusqanmantapacha."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Chayraykun imaymana sumaq kawsay raymikuna pisimanta chinkapuchkan.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Sumaq kawsay raymikuna imanaptinmi chinkapusqanta riqsirquspaqa, kaymi atipananchik: Ayllunchikpi imanaptinmi sumaq kawsay raymikuna chinkasqanmanta, imaynatataq riqsirichisunman?"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Huk kasqan willayta qillqay, iman kanman wakin sumaq kawsay raymikuna chinkapusqanmanta."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imanaptinmi ayllukunapi raymikuna Raphi chinkapusqanmanta riqsisunchik Yachananchikpaq allichakusun Taytamamaykiwan yachaqmasiykikunawan rimay.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imataq kanman ayllukunapi raymikuna chinkapuqtin?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Huk p'unchawsi, tayta Tomas llaqtata papa ch'uu apaykusqa chhalaq risqa."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Ichaqa manas chhalanapaq tarinchu.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Chaysi rimapakun Maypitaq chhalayri kapun?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Yuyaykukunsi ayllukunaman carrokuna, musuq kawsaykuna chayamusqanmantapachan qullqillawana papa ch'uu milkhuykunataqa rantinku."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Tomasqa, llakisqa yuyaykullantaq, chayraykun imaymana sumaq kawsay, haywarinakuy kapunchu pisimanta chinkapuchkan nispa."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Chhalay chinkapuqtinri imataq kanman, chaymanta rimasun."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Tayta Tomas imamantaq llaqtata rirqan?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Tayta Tomas imanaptintaq nirqan?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imataq kanman manapuni chhalay kaptin?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Qillqasqapa nisqanmanhina: imataq kanman chhalay chinkapusqanmanta?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Allin kutichisqata chimpuy:  Iman kanman ayllukunapi chhalay chinkapuqtin?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Mana sumaq kawsay, haywarinakuy kapunchu."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Qillqasqapi mikhuykunapa sutinta siq'inman taripachiy.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Ch'uu papa  Taytamamaykiwan rimay, iman kanman chhalay chinkapuptin."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachasqanchikmanta hamut'asun Tapukuyta awinchaspa allin kutichisqata (X)wan chimpuy.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Ar Mana Allinchu, iman kanman chhalay chinkapuqtin, riqsisqanchik?"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Papamanta ch'uumantawan Raphi awinchaspa qillqay Yachananchikpaq allichakusun Awichaykiwan papapa wianan ayllu imayna kasqanmanta rimay.
