document,sentence
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Raphi Imarayku wasi ruraypi ayni mink'a chinkapusqanta riqsisun Raphi Iman kanman wasi ruraypi manaa ayni mink'a kaptin riqsisunchik Raphi Wasi ruranapaq kaqkunamanta qhatuna raphita awinchaspa qillqasun Raphi Wasi llamk'anakunamanta kasqan willakuyta awinchaspa riqsichisun Raphi Wasi ruranakunamanta kasqan willayta awinchaspa qillqasun Raphi Qhatuna raphita awinchaspa qillqasun Raphi Rimasunchik Raphi Rimakusunchik Raphi Rurasqayta riqsichini Raphi Rurasqayta riqsichini Raphi Asheninka llaqtapa wasi rurayninta riqsisunchik Raphi Shawikunapa wasi rurayninta riqsisun T'aqa Ayllunchikkunapa yachayninkunata chaninchasunchik Yachananchikpaq Imaraykutaq ayllukunapi makiwan rurasqakuna chinkapuchkan?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachananchikpaq Imaraykutaq ayllukunapi makiwan rurasqakuna chinkapuchkan?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Raphi Imarayku away, makiwan rurasqakuna pisi apaykachasqanchikmanta riqsisunchik Raphi Imankanman awaykuna, makiwan rurasqakunata pisita apaykachaqtinchik Raphi Away, makiwan rurasqakunamanta musuq willakuyta awinchaspa qillqasun Raphi Willakuq raphikunata awinchaspa qillqasun Raphi Tapupayanata awinchaspa qillqasun Raphi Musuq willakuyta awinchaspa qillqasun Raphi Rimasunchik Raphi Rimasunchik Raphi Rurasqayta riqsichini Raphi Rurasqayta riqsichini Raphi Asheninkakunapa awayninkunata riqsisun Raphi Chumbivilcas llaqtapa awayninta riqsisunchik T'aqa Hatun tarpuypi yanapanakusunchik Yachananchikpaq Imaraykutaq tarpuy kinrayta unu pisiyan?"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachananchikpaq Imaraykutaq tarpuy kinraypi unu pisiyan?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachananchikpaq Imaraykutaq apunchikkunata yuyarinanchikpuni?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Raphi Imarayku apukunawan uywanakuy chinkapusqanmanta riqsisun Raphi Iman kanman apukunawan kawsayninchik chinkaptin riqsisunchik Raphi Willakuypa siq'iyninta awinchaspa qillqasun Raphi Rimanakuspa chaninchasqanchikta awinchaspa qillqasun Raphi Kawsasqamanta willakuyta ruraytukunapaq awinchaspa qillqasun Raphi Aktata awinchaspa qillqasun Raphi Rimasunchik Raphi Rimasunchik Raphi Rurasqayta riqsichini Raphi Rurasqayta riqsichini Raphi Apu Qurupunamanta riqsisun Raphi Inkakunapa apunkunamanta riqsisun  Imataq kan raphikunapi Imataq kan raphikunapi Kawsayninchikmanta yuyaychakuy.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Huk ayllukunapa yachayninkuna qhawarichiy.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,T'aqa Ayllunchikpa kawsayninkunawan uywanakunchik   Imaraykutaq runakuna qura hampiwan Yachananchikpaq Yachananchikpaq manaa hampikunchikchu?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Ayllunchiskunapiqa, hinantinpi imaymana rikch'aq qurakunam wian, kaykunataqmi imaymana unquy hampinapaq."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Ichaqa kunanqa manaa yuyaywanchu chaninchanchik, aswanpas hampi qhatuna wasikunallataa qhawanchik."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Imatataq rurasunman, imarayku qura hampikunawan manaa hampikusqanchikmanta yachanapaq?"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Imarayku hampi qurakunawan manaa hampikusqanchikmanta, siq'ispa willakuy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imaraykutaq runakuna qura hampiwan manaa Raphi hampikunchikchu?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachananchikpaq allichakusun Yachaqmasiykikunawan rimay.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imaraykutaq manaa Imaynatataq qura hampikunawan wasiykipi hampinakunchikchu?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachasqanchikta mat'ipasun Qura hampikunamanta awinchasun.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Aylluypi qura hampikuna Tayta Tomasqa wamanlipa unuta t'impuchin.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Chaypis rimapakun, irqikunaqa manapascha munanqakuchu upyayta, mamanqa pastillasllataan upyachin, chayraykun qura hampikunawan hampinakuyqa chinkapuchkan!"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Micaela, Manuelwan, tayta Tomaspa hawayninkuna, paykunan ch'uhu unquywan unqurqapusqaku."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Paykunaqa pastillastas hampikunankupaq maakunku.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Micaela, Manuelwan unquspa imawantaq hampikuyta munanku?"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imaraykutaq pastillasta wawakuna maakun?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imaraykupiwantaq manaa qura hampikunawan hampinakunchikchu?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Tapukuyman allin kutichisqata, X(wan) ch'ikuy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imanantaq runakuna pastillasllawana hampinakuptinchik?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Qura hampikunawan hampinakuy chinkapun.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imarayku qura hampikunawan manaa hampinakusqanchikmanta taytamamaykiwan rimay.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imarayku qura hampikunawan manaa hampikusqanchikmanta siq'ispa qillqay.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachasqanchikmanta hamut'asun Mayqam qurakunawantaq mana pastillasta upyaspa hampikusunman llimp'iy.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Tapukuyta awinchaspa, allin kutichisqata llimp'iy Allinchu qura hampikunawan hampinakuy?"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Raphi Ayllunchikpi qura hampikunamanta awinchaspa qillqasun Yachananchikpaq allichakusun Yachaqmasiykikunawan rimay.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Pastillasllataa Qura hampikunataqa upyaqtinchik, sumaqtam allin qura hampiwan kawsananchikpaq uywananchik."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Yachasqanchikta mat'ipasun awpaq siq'ipa sutinta uyarispa, mayqam siq'ikunapa sutinmi qallariyninpi kikin t'uqyaqta muyuwan kanchachay wamanlipa."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Pikunamantan Aylluypi qura hampikuna qillqasqapi rimasqa, tukukuyninpi kikin t'uqyaqkunata uyarispa x(wan) ch'ikuy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Siq'ikunapa sutinta awinchaspa, sapa simi phatma t'uqyasqanmanhina t'aqllakuy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,mua wamanlipa sasawi Simikunapa sutinta uyarispa hukta pinkiy sapanka simi phatmaq tuqyasqanmanhina.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Chaymantataq hayk'a pinkiymi kasqa chayta churay.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,sasawi wamanlipa mua   awpaq sayaq wachupi qillqaman rikch'akuqta machkaspa pukllasun.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Tayta Toms qura hampiwan hampiyta yachan.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Tayta Tomasqa, pastillasta rantiqtinku llakikun."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Raphi Qura hampikunamanta awinchaspa qillqasun Yachananchikpaq allichakusun Imakunataq kanan?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Yachasqanchikta mat'ipasun Qillqasqata manaraq awinchachkaspa, kutichiy: Imaynatataq qura hampikunata pallankuman?"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Qillqasqata ch'inlla awinchaspa, riqsisqayki simikunata muyuwan wichq'ay."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Qura hampi pallay Tomas machulayqa llapallan wawankunaman puquy kinraypi qura hampikuna pallayta, yachachin."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"wamanlipa, panti, pupusa chaykunata pallaspa llanthullapi ch'akichispa warkusqata waqaychanku, ima unquypas hap'iqtin, chay qura hampikunawan hampinakuspa qhali kawsakunankupaq."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Qura hampi pallay qillqasqata awinchaspa, tapukuykunaman kutichiy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Ima kinraypitaq qura hampita pallanku?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Ima qura hampikunatawantaq riqsinki?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Simikunata uyarispa, tukukuyninpi kikin t'uqyaqpi tukuq siq'ikunata tupachiy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachaqmasiykikunaman imayna rurasqaykita willay.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Kunanqa watuchikunata awinchaspa kusikusun.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Urqullanpi, q'asallanpi, wiani, ch'uhu unquypaq, covid unquypaq ancha machkana kani."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Lliwpas takinku uqamanta, sasa Kunanqa machkanas kanki watuchikunata nispa."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Rimaspa kutichiy:  Ima qura hampikunawantaq unquspa hampikusunman?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imatataq yachayta munani watuchi qillqanaypaq?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Riqsisqayki qura hampimanta huk watuchita siq'ispa qillqay.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Taytamamaykiman willay watuchi paqarichisqaykita, chaymantataq yachasqanku watuchikunata willachikuy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachasqanchikmanta hamut'asun Kutichiy: Ima qura hampikunawantaq ch'uhu unquyta hampikuna?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Raphi Rimanakusunchik Yachananchikpaq allichakusun Siq'ita qhawaspa yachaqmasinchikkunawan rimasun.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Imaraykutaq semana santapi qura hampikunata pallanku?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Aylluykipi qura hampikunata taytamamayki pallachkanraqchu?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Yachasqanchikta mat'ipasun Yachachiqniykiwan semana santapi qura hampikuna pallaymanta rimay, chaymantataq uyarisqaykita siq'iy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Ayllukunapiqa awpaqmantapacha, uqaykuqa qura hampikunallawanpuni hampikurqayku ima unquymantapas, manan hampina wasikunataqa riqsirqaykuchu."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachaqmasiykikunawan kay takichata uyarispa takiy!
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Qhali kawsay Pachamamaqa lliwpa mamanchik qura hampita phutuchipuwanchik Qhali qhalilla kawsakunapaq, Kusi kusilla purikunapaq."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Huunakuspa ayllunchikpa munay takiyninkunamanta yuyaychakusun.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Tayta mamaykiwan qura hampimanta takita  Akllakuspa atinanchikkama takisun.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Manaraq takichkaspa takiykita qillqay.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Yachaqmasiykikunaq Tukanakunata tukaspa, takisqanta uyarispa takiy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Imamantan taki Yupay tupasqanta kasqanta, riqsichiy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Yachasqanchikmanta hamut'asun Takikunata uyariyta, takiyta tukuspa, mayqam takin munaycha kasqanmanta, yachaqmasiykikunawan rimay."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Imamantataq takikuna uyarisqanchik kasqa, siq'iy."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Raphi Llamk'asqayta riqsichini Yachananchikpaq allichakusun Siq'ispa willakusun, Taytamamaykiman, imarayku qura yachaqmasiykikunaman imarayku qura hampikunawan manaa hampikusqanchikmanta!"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,hampiwan manaa hampikusqanchikmanta willawaqchu?
